id,prediction,sentiment
0,5,5
1,5,5
2,5,4
3,5,4
4,5,5
5,5,5
6,5,5
7,5,5
8,5,5
9,5,5
10,5,5
11,5,1
12,5,5
13,5,5
14,5,5
15,5,5
16,5,5
17,5,5
18,5,5
19,5,2
20,5,5
21,5,4
22,5,4
23,5,4
24,5,5
25,5,5
26,5,4
27,5,4
28,5,4
29,5,5
30,5,4
31,5,5
32,5,5
33,5,4
34,5,5
35,5,5
36,5,5
37,5,5
38,5,4
39,5,5
40,5,5
41,4,5
42,5,5
43,5,3
44,5,5
45,5,5
46,5,5
47,5,5
48,5,5
49,5,4
50,5,5
51,5,5
52,5,5
53,5,5
54,5,5
55,5,5
56,5,5
57,5,1
58,5,5
59,5,5
60,5,5
61,5,3
62,5,5
63,5,5
64,5,5
65,5,5
66,5,5
67,5,5
68,5,5
69,5,5
70,5,5
71,5,4
72,5,5
73,5,5
74,5,5
75,5,5
76,5,4
77,5,5
78,5,5
79,5,5
80,5,5
81,5,5
82,5,5
83,5,4
84,5,5
85,5,5
86,5,5
87,5,5
88,5,5
89,5,5
90,5,4
91,5,5
92,5,4
93,5,5
94,5,5
95,5,5
96,5,5
97,5,5
98,5,4
99,5,5
100,5,2
101,5,5
102,5,5
103,5,5
104,5,5
105,5,5
106,5,5
107,5,5
108,5,5
109,5,5
110,5,5
111,5,5
112,5,5
113,5,5
114,5,4
115,5,5
116,5,4
117,5,1
118,5,5
119,5,5
120,5,5
121,5,4
122,5,5
123,5,5
124,5,1
125,5,5
126,5,5
127,5,3
128,5,4
129,5,5
130,5,5
131,5,5
132,5,4
133,5,5
134,4,5
135,5,5
136,5,5
137,5,5
138,5,4
139,5,4
140,5,5
141,5,5
142,5,4
143,5,5
144,5,5
145,5,5
146,5,5
147,5,5
148,5,5
149,5,5
150,5,5
151,5,5
152,5,5
153,5,4
154,5,1
155,5,5
156,5,5
157,5,5
158,5,5
159,5,3
160,5,5
161,5,5
162,5,3
163,5,2
164,5,5
165,5,4
166,5,5
167,5,5
168,5,5
169,5,4
170,5,4
171,5,5
172,5,5
173,5,5
174,5,5
175,5,5
176,5,5
177,5,5
178,5,5
179,5,5
180,5,5
181,5,5
182,5,5
183,5,5
184,5,5
185,5,4
186,5,5
187,5,5
188,5,5
189,5,3
190,5,5
191,5,5
192,5,5
193,5,5
194,5,5
195,5,5
196,5,5
197,5,5
198,5,5
199,5,5
200,5,4
201,5,5
202,5,4
203,5,5
204,5,5
205,5,5
206,5,5
207,5,4
208,5,5
209,5,4
210,5,5
211,5,5
212,5,4
213,5,5
214,5,3
215,5,5
216,5,5
217,5,5
218,5,5
219,5,5
220,5,5
221,5,5
222,5,4
223,5,4
224,5,5
225,5,5
226,5,5
227,5,5
228,5,5
229,5,5
230,5,5
231,5,5
232,5,5
233,5,5
234,5,4
235,5,5
236,5,4
237,5,5
238,5,5
239,3,5
240,5,5
241,5,5
242,5,5
243,5,5
244,5,5
245,5,5
246,5,4
247,5,5
248,5,5
249,5,5
250,5,5
251,5,5
252,5,5
253,5,5
254,5,5
255,5,5
256,5,4
257,5,5
258,5,5
259,5,5
260,5,5
261,5,5
262,5,5
263,5,5
264,5,4
265,5,5
266,3,4
267,5,5
268,5,5
269,5,5
270,5,5
271,5,5
272,5,5
273,5,5
274,5,3
275,5,2
276,5,5
277,5,5
278,5,3
279,5,4
280,5,5
281,5,5
282,5,4
283,5,5
284,5,5
285,5,4
286,5,5
287,5,5
288,5,5
289,5,5
290,5,4
291,5,4
292,5,5
293,5,5
294,5,5
295,5,5
296,5,5
297,5,5
298,5,5
299,5,5
300,5,5
301,5,5
302,5,3
303,5,5
304,5,5
305,5,5
306,5,5
307,5,4
308,5,2
309,5,5
310,5,5
311,5,5
312,5,1
313,5,5
314,5,5
315,5,5
316,5,5
317,5,5
318,5,4
319,5,4
320,5,1
321,5,5
322,5,5
323,5,5
324,5,5
325,5,5
326,5,5
327,5,5
328,5,2
329,5,5
330,5,4
331,5,5
332,5,5
333,5,5
334,5,5
335,5,5
336,5,5
337,5,5
338,5,5
339,5,5
340,5,5
341,5,4
342,5,5
343,5,4
344,5,5
345,5,3
346,5,4
347,5,4
348,5,5
349,5,5
350,5,5
351,5,5
352,5,5
353,5,5
354,5,5
355,5,5
356,5,5
357,5,4
358,5,5
359,5,4
360,5,5
361,5,5
362,5,5
363,5,5
364,5,1
365,5,4
366,5,5
367,5,2
368,5,5
369,5,5
370,5,5
371,5,5
372,5,4
373,5,5
374,5,5
375,5,5
376,5,5
377,5,5
378,5,5
379,5,5
380,5,5
381,5,5
382,5,1
383,5,5
384,5,5
385,5,5
386,5,5
387,5,5
388,5,3
389,5,5
390,5,5
391,5,5
392,5,5
393,5,4
394,5,5
395,5,5
396,5,5
397,5,5
398,5,5
399,5,5
400,5,5
401,5,4
402,5,5
403,5,4
404,5,5
405,5,2
406,5,5
407,5,5
408,5,5
409,5,4
410,5,5
411,5,5
412,5,5
413,5,5
414,5,5
415,5,5
416,5,5
417,5,5
418,5,5
419,5,5
420,5,5
421,5,4
422,5,3
423,5,3
424,5,5
425,5,5
426,5,5
427,5,5
428,5,3
429,5,1
430,5,5
431,5,5
432,5,5
433,5,4
434,5,5
435,5,4
436,5,4
437,5,5
438,5,5
439,5,5
440,5,4
441,5,5
442,5,5
443,5,5
444,5,4
445,5,5
446,5,5
447,5,5
448,5,4
449,5,5
450,5,5
451,5,5
452,5,5
453,5,5
454,5,5
455,5,5
456,5,5
457,5,5
458,5,3
459,5,5
460,5,5
461,5,5
462,5,5
463,5,2
464,5,5
465,5,1
466,5,5
467,5,1
468,5,5
469,5,5
470,5,5
471,5,3
472,5,5
473,5,5
474,5,4
475,5,4
476,5,5
477,5,5
478,5,5
479,5,5
480,5,4
481,5,5
482,5,5
483,5,5
484,5,2
485,5,5
486,5,5
487,5,5
488,5,5
489,5,3
490,5,5
491,5,5
492,5,5
493,5,5
494,5,5
495,5,5
496,5,5
497,5,5
498,5,5
499,5,5
500,5,2
501,5,5
502,5,5
503,5,5
504,5,5
505,5,3
506,5,5
507,5,5
508,5,5
509,5,4
510,5,5
511,5,4
512,5,5
513,5,5
514,5,5
515,5,5
516,5,4
517,5,5
518,5,4
519,5,5
520,5,4
521,5,5
522,5,5
523,5,2
524,5,2
525,5,1
526,3,3
527,5,1
528,5,4
529,5,5
530,5,4
531,5,5
532,5,5
533,5,5
534,5,5
535,5,5
536,5,5
537,5,4
538,5,4
539,5,5
540,5,5
541,5,5
542,5,5
543,5,4
544,5,5
545,5,5
546,5,4
547,5,5
548,5,5
549,5,5
550,5,4
551,5,5
552,5,5
553,5,4
554,5,5
555,5,5
556,5,5
557,5,5
558,5,2
559,5,5
560,5,5
561,5,5
562,5,1
563,5,1
564,5,5
565,5,1
566,5,5
567,5,4
568,5,5
569,5,5
570,5,2
571,5,5
572,5,5
573,5,4
574,5,5
575,5,5
576,5,4
577,5,5
578,5,4
579,5,5
580,5,4
581,5,3
582,5,2
583,5,5
584,5,2
585,5,5
586,5,5
587,5,5
588,5,5
589,5,4
590,5,1
591,5,5
592,5,1
593,5,5
594,5,1
595,5,2
596,5,1
597,5,5
598,5,3
599,5,5
600,5,5
601,5,5
602,5,5
603,5,5
604,5,4
605,5,1
606,5,5
607,5,5
608,5,5
609,5,4
610,5,5
611,5,4
612,5,5
613,5,5
614,5,5
615,5,1
616,5,5
617,5,5
618,5,5
619,5,1
620,5,4
621,5,5
622,5,5
623,5,5
624,5,1
625,5,1
626,5,1
627,5,4
628,5,5
629,5,4
630,5,5
631,5,3
632,5,4
633,5,5
634,5,5
635,5,2
636,5,5
637,5,5
638,5,5
639,5,5
640,5,5
641,5,4
642,5,5
643,5,5
644,5,4
645,5,5
646,5,4
647,5,5
648,5,5
649,5,4
650,5,3
651,5,5
652,5,4
653,5,5
654,5,5
655,5,1
656,5,5
657,5,5
658,5,5
659,5,5
660,5,2
661,5,1
662,5,5
663,5,5
664,5,5
665,5,2
666,5,5
